,close,return,realreturn,direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
2354,102.649,-0.0034621291644668555,-0.35599999999999454,-1,1,1,3,1,1,0.35599999999999454,0,-0.0,54.12481475382851
2355,104.081,0.013854040575661641,1.4320000000000022,1,1,1,1,3,1,1.4320000000000022,1,1.4320000000000022,62.366608131838596
2356,104.212,0.0012578436843488866,0.13100000000000023,1,3,1,1,1,3,0.13100000000000023,1,0.13100000000000023,62.26977248104021
2357,104.055,-0.0015076803309186666,-0.15699999999999648,-1,2,3,1,1,1,0.15699999999999648,0,-0.0,57.92107520732068
2358,104.066,0.00010570773742426303,0.01099999999999568,1,1,2,3,1,1,0.01099999999999568,1,0.01099999999999568,62.78207109737263
2359,104.256,0.0018240997367813222,0.18999999999999773,1,2,1,2,3,1,0.18999999999999773,1,0.18999999999999773,65.284814985414
2360,104.723,0.0044693560344889645,0.46699999999999875,1,2,2,1,2,3,0.46699999999999875,1,0.46699999999999875,73.71134020618578
2361,105.167,0.004230793866173947,0.4440000000000026,1,2,2,2,1,2,0.4440000000000026,1,0.4440000000000026,70.31746031746057
2362,105.088,-0.0007514684903345411,-0.07900000000000773,-1,2,2,2,2,1,0.07900000000000773,0,-0.0,66.93563520360316
2363,105.23899999999999,0.0014358596465784952,0.15099999999999625,1,1,2,2,2,2,0.15099999999999625,1,0.15099999999999625,75.3699574295561
2364,104.74700000000001,-0.004686035262499758,-0.491999999999976,-1,2,1,2,2,2,0.491999999999976,0,-0.0,72.95918367346967
2365,104.76700000000001,0.00019091802992397033,0.01999999999999602,1,1,2,1,2,2,0.01999999999999602,1,0.01999999999999602,67.37689393939431
2366,104.178,-0.005637862213855318,-0.5890000000000128,-1,2,1,2,1,2,0.5890000000000128,0,-0.0,60.13099514050294
2367,104.545,0.0035166261333307042,0.36700000000000443,1,1,2,1,2,1,0.36700000000000443,1,0.36700000000000443,65.75931232091703
2368,104.744,0.0019016772020656204,0.19899999999999807,1,2,1,2,1,2,0.19899999999999807,1,0.19899999999999807,72.15056037217177
2369,104.795,0.0004867828996708326,0.05100000000000193,1,2,2,1,2,1,0.05100000000000193,1,0.05100000000000193,60.66308243727602
2370,104.068,-0.006961529194170084,-0.7270000000000039,-1,2,2,2,1,2,0.7270000000000039,0,-0.0,48.174442190669296
2371,102.94,-0.010898237406344533,-1.1280000000000001,-1,0,2,2,2,1,1.1280000000000001,0,-0.0,38.65717192268555
2372,104.21,0.012261799779727498,1.269999999999996,1,0,0,2,2,2,1.269999999999996,1,1.269999999999996,51.16618075801742
2373,104.601,0.0037450178102332917,0.39100000000000534,1,3,0,0,2,2,0.39100000000000534,1,0.39100000000000534,52.70588235294117
2374,104.31,-0.0027858771266895325,-0.2909999999999968,-1,2,3,0,0,2,0.2909999999999968,0,-0.0,46.66881755121796
2375,104.272,-0.0003643650978551704,-0.0379999999999967,-1,1,2,3,0,0,0.0379999999999967,0,-0.0,42.27515967547043
2376,104.195,-0.0007387260669716673,-0.07700000000001239,-1,1,1,2,3,0,0.07700000000001239,0,-0.0,42.28975997237091
